Id,BoMiProt ID,Uniprot ID,Protein,Gene Name,Gene ID,Milk Fraction,Source file,Entry URL
23749,Bomi3369,A0A3Q1NKP5,Actin beta like 2,ACTBL2,780991,Exosomes,download (2).xls,https://bomiprot.org/searchDisplayByBomiId.php?bomiprotId=Bomi3369
23750,Bomi3370,F1MMN9,Advillin,AVIL,520771,Whey,download (2).xls,https://bomiprot.org/searchDisplayByBomiId.php?bomiprotId=Bomi3370
23751,Bomi3371,A0A3Q1LR54,Advillin,AVIL,520771,Whey,download (2).xls,https://bomiprot.org/searchDisplayByBomiId.php?bomiprotId=Bomi3371
23752,Bomi3372,B0JYQ0,Albumin,ALB,280717,"Whey,MFGM",download (2).xls,https://bomiprot.org/searchDisplayByBomiId.php?bomiprotId=Bomi3372
23753,Bomi3373,A0A3Q1LNN7,Albumin,ALB,280717,"Whey,MFGM",download (2).xls,https://bomiprot.org/searchDisplayByBomiId.php?bomiprotId=Bomi3373
23754,Bomi3374,A0A3Q1MBH7,"Aph-1 homolog A, gamma-secretase subunit",APH1A,539247,Exosomes,download (2).xls,https://bomiprot.org/searchDisplayByBomiId.php?bomiprotId=Bomi3374
23755,Bomi3375,A0A3Q1MQ92,Arrestin domain containing 1,ARRDC1,,Exosomes,download (2).xls,https://bomiprot.org/searchDisplayByBomiId.php?bomiprotId=Bomi3375
23756,Bomi3376,A6H7C4,CBX3 protein,CBX3,539788,Whey,download (2).xls,https://bomiprot.org/searchDisplayByBomiId.php?bomiprotId=Bomi3376
23757,Bomi3377,A0A3Q1M1B6,CD177 molecule,CD177,,Exosomes,download (2).xls,https://bomiprot.org/searchDisplayByBomiId.php?bomiprotId=Bomi3377
23758,Bomi3378,A0A3Q1LT24,Chromosome 16 C1orf21 homolog,C16H1orf21,,Exosomes,download (2).xls,https://bomiprot.org/searchDisplayByBomiId.php?bomiprotId=Bomi3378
23759,Bomi3379,A0A3Q1LTB9,Coagulation factor XIII A chain,F13A1,,Exosomes,download (2).xls,https://bomiprot.org/searchDisplayByBomiId.php?bomiprotId=Bomi3379
