"AID","Panel Member ID","SID","CID","Activity Outcome","Target Accession","Target GeneID","Activity Value [uM]","Activity Name","Assay Name","Assay Type","PubMed ID","RNAi"
681124,NA,103241907,92181,"Active","Q63424",60577,7,"Ki","TP_TRANSPORTER: inhibition of Gly-Sar uptake in PEPT2-expressing LLC-PK1 cells","Confirmatory",11007306,NA
612540,NA,103301765,1551643,"Active","Q16348",6565,3.46737,"Ki","Binding affinity to human PepT2 in SKTP cells","Confirmatory",21741846,NA
612540,NA,103301765,1551643,"Active","Q16348",6565,3.5,"Ki","Binding affinity to human PepT2 in SKTP cells","Confirmatory",21741846,NA
1811,NA,46391682,743,"Active","1CZC_A",NA,NA,"","Experimentally measured binding affinity data derived from PDB","Other",10731702,NA
360150,NA,103762581,743,"Active","Q8VC69",18399,6.7,"Ki","Inhibition of mouse Oat1-mediated [3H]PAH uptake in Xenopus oocytes after 1 hr","Confirmatory",17553798,NA
360150,NA,103762581,743,"Active","Q8VC69",18399,6.76083,"Ki","Inhibition of mouse Oat1-mediated [3H]PAH uptake in Xenopus oocytes after 1 hr","Confirmatory",17553798,NA
681331,NA,103762581,743,"Active","Q4U2R8",9356,4.9,"IC50","TP_TRANSPORTER: inhibition of 6-Carboxyfluorescein uptake in OAT1-expressing CHO cells","Confirmatory",10929807,NA
977610,NA,208013971,743,"Active","",NA,30000,"Ki","Experimentally measured binding affinity data (Ki) for protein-ligand complexes derived from PDB","Other",23928095,NA
977611,NA,46391682,743,"Active","1CZC_A",NA,1500,"Kd","Experimentally measured binding affinity data (Kd) for protein-ligand complexes derived from PDB","Other",10731702,NA
1224841,NA,144209646,743,"Active","ADZ17378",2101,37.8267,"Potency","qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library","Confirmatory",NA,NA
1259377,NA,144209646,743,"Active","AAV31779",2100,30.0468,"Potency","qHTS assay to identify small molecule agonists of the estrogen receptor beta (ER-beta) signaling pathway","Confirmatory",NA,NA
1259394,NA,144209646,743,"Active","AAV31779",2100,1.26706,"Potency","qHTS assay to identify small molecule agonists of the estrogen receptor beta (ER-beta) signaling pathway: Summary","Summary",NA,NA
1347395,NA,144209646,743,"Active","AAA68151",43,6.2076,"Potency","Acetylcholinesterase (AChE) small molecule antagonists: colormetric cell-based qHTS assay","Confirmatory",NA,NA
1671196,NA,144209646,743,"Active","",1565,22.0253,"Potency","Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA,NA
1671196,NA,144209646,743,"Active","ANW61984",1565,22.0253,"Potency","Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA,NA
1671197,NA,144209646,743,"Active","",1557,22.0253,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA,NA
1671197,NA,144209646,743,"Active","AAV41877",1557,22.0253,"Potency","Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA,NA
1671198,NA,144209646,743,"Active","",1559,39.1672,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA,NA
1671198,NA,144209646,743,"Active","AGS09764",1559,39.1672,"Potency","Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA,NA
1671199,NA,144209646,743,"Active","",1544,34.9078,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA,NA
1671199,NA,144209646,743,"Active","EAW99313",1544,34.9078,"Potency","Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay","Confirmatory",NA,NA
1195,NA,48416059,5961,"Active","",NA,NA,"","DSSTox (FDAMDD) FDA Maximum (Recommended) Daily Dose Database","Other",NA,NA
1811,NA,46393493,5961,"Active","1WDN_A",NA,NA,"","Experimentally measured binding affinity data derived from PDB","Other",9571045,NA
977611,NA,46393493,5961,"Active","1WDN_A",NA,0.5,"Kd","Experimentally measured binding affinity data (Kd) for protein-ligand complexes derived from PDB","Other",9571045,NA
1347418,NA,405037783,5961,"Active","",NA,NA,"","Inhibitor identification of human QSOX1 enzyme: high-throughput screening using ROS-Glo(TM) assay","Other",NA,NA
1347420,NA,405037783,5961,"Active","",NA,NA,"","Inhibitor identification of human QSOX1 enzyme: high-throughput screening using HyperBlu(TM) assay","Other",NA,NA
