accessions,names,inchikeys,smiles,pubchem_cids,concentrations_ind,concentrations_ind,DMD_ID_Direct_Name_Match,Final,,Quantified,Identified
BMDB00001,1-Methylhistidine,BRMWTNUJHUMWMS-LURJTMIESA-N,CN1C=NC(C[C@H](N)C(O)=O)=C1,92105,FALSE,No record in the main study,DMD305447,DMD305447,Unique Match (by names only),0,1
BMDB00008,2-Hydroxybutyric acid,AFENDNXGAFYKQO-UHFFFAOYSA-N,CCC(O)C(O)=O,11266,FALSE,No record in the main study,NA,NA,No Match,0,0
BMDB00014,Deoxycytidine,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,13711,FALSE,No record in the main study,DMD305463,DMD305463,Unique Match (by names only),0,1
BMDB00020,p-Hydroxyphenylacetic acid,XQXPVVBIMDBYFF-UHFFFAOYSA-N,OC(=O)CC1=CC=C(O)C=C1,127,FALSE,No record in the main study,NA,NA,No Match,0,0
BMDB00030,Biotin,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,171548,TRUE,Found Concentration in Main Study,NA,NA,No Match,0,0
BMDB00033,Carnosine,CQOVPNPJLQNMDC-ZETCQYMHSA-N,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,439224,TRUE,Found Concentration in Main Study,NA,NA,No Match,0,0
BMDB00034,Adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,NC1=C2NC=NC2=NC=N1,190,FALSE,No record in the main study,DMD305487,DMD305487,Unique Match (by names and pubchem),0,1
BMDB00037,Aldosterone,PQSUYGKTWSAVDQ-SRPWZAMTSA-N,C[C@]12CCC(=O)C=C1CCC1C3CC[C@H](C(=O)CO)[C@]3(C[C@H](O)C21)C=O,24758425,FALSE,No record in the main study,NA,NA,No Match,0,0
BMDB00039,Butyric acid,FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(O)=O,264,TRUE,Found Concentration in Main Study,DMD302672,DMD302672,Unique Match (by names and pubchem),1,1
BMDB00042,Acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(O)=O,176,TRUE,Found Concentration in Main Study,DMD302667,DMD302667,Unique Match (by names and pubchem),1,1
BMDB00043,Betaine,KWIUHFFTVRNATP-UHFFFAOYSA-N,C[N+](C)(C)CC([O-])=O,247,TRUE,Found Concentration in Main Study,DMD302162;DMD302671;DMD305494,DMD302162;DMD302671;DMD305494,Multiple Match (by names and pubchem),1,3
BMDB00044,Ascorbic acid,TYQCGQRIZGCHNB-MVHIGOERSA-N,[H][C@@](O)(CO)[C@]1([H])OC(O)=C(O)C1=O,,TRUE,Found Concentration in Main Study,NA,NA,No Match,0,0
BMDB00045,Adenosine monophosphate,UDMBCSSLTHHNCD-KQYNXXCUSA-N,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,6083,TRUE,No record in the main study,NA,NA,No Match,0,0
BMDB00050,Adenosine,OIRDTQYFTABQOQ-KQYNXXCUSA-N,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,60961,TRUE,No record in the main study,DMD305152,DMD305152,Unique Match (by names only),0,1
BMDB00053,Androstenedione,AEMFNILZOJDQLW-QAGGRKNESA-N,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,6128,TRUE,No record in the main study,NA,NA,No Match,0,0
